                 FLIGHT AIRCRAFT ID: B744
               FLIGHT AIRCRAFT NAME: B-747-400*          
                        ENGINE NAME: PW4056              
                  NUMBER OF ENGINES: 4
 MEASURED FLIGHT NOISE DATA UPDATED: 14 JAN 1988
        SOURCE OF FLIGHT NOISE DATA: FAA         
 NUMBER OF POWER SETTINGS REQUESTED:  2

PROFILE ID   INTERPOLATION TYPE    POWER SETTING    SPEED (KNOTS)   POWER DESCRIPTION

FC0840100         VARIABLE        5108.90 LBS            160        APPROACH POWER      

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    102.9  100.6    104.3  102.0     -1.0   -1.0     -1.0   -1.0
    250    101.8   98.9    103.0  100.1     -1.0   -1.0     -1.0   -1.0
    315    100.4   96.9    101.3   97.8     -1.0   -1.0     -1.0   -1.0
    400     98.5   94.3     99.1   94.8     -1.0   -1.0     -1.0   -1.0
    500     97.1   92.0     97.5   92.4     -1.0   -1.0     -1.0   -1.0
    630     95.3   89.2     95.5   89.4     -1.0   -1.0     -1.0   -1.0
    800     93.8   86.5     94.0   86.7     -1.0   -1.0     -1.0   -1.0
   1000     91.9   83.4     92.1   83.6     -1.0   -1.0     -1.0   -1.0
   1250     90.5   80.7     90.6   80.8     -1.0   -1.0     -1.0   -1.0
   1600     88.7   77.6     88.7   77.6     -1.0   -1.0     -1.0   -1.0
   2000     86.4   74.1     86.3   74.0     -1.0   -1.0     -1.0   -1.0
   2500     84.7   71.5     84.4   71.2     -1.0   -1.0     -1.0   -1.0
   3150     82.6   68.8     82.1   68.2     -1.0   -1.0     -1.0   -1.0
   4000     79.9   66.1     79.1   65.2     -1.0   -1.0     -1.0   -1.0
   5000     77.8   63.9     76.5   62.7     -1.0   -1.0     -1.0   -1.0
   6300     75.0   61.2     73.3   59.4     -1.0   -1.0     -1.0   -1.0
   8000     72.9   59.1     70.7   56.8     -1.0   -1.0     -1.0   -1.0
  10000     70.2   56.4     67.4   53.6     -1.0   -1.0     -1.0   -1.0
  12500     68.1   54.3     64.8   51.0     -1.0   -1.0     -1.0   -1.0
  16000     65.3   51.5     61.4   47.5     -1.0   -1.0     -1.0   -1.0
  20000     63.2   49.4     58.9   45.1     -1.0   -1.0     -1.0   -1.0
  25000     60.6   46.7     55.7   41.9     -1.0   -1.0     -1.0   -1.0

FC0840101         VARIABLE       12081.90 LBS            160        CRUISE POWER        

 Distance    SEL (dB)      EPNL (EPNdB)      ALM (dBA)     PNLT (PNdB)
   (ft)     A-G    G-G      A-G    G-G      A-G    G-G      A-G    G-G
    200    104.6  102.2    108.1  105.8     -1.0   -1.0     -1.0   -1.0
    250    103.4  100.5    106.9  104.0     -1.0   -1.0     -1.0   -1.0
    315    101.9   98.4    105.3  101.8     -1.0   -1.0     -1.0   -1.0
    400     99.9   95.6    103.2   99.0     -1.0   -1.0     -1.0   -1.0
    500     98.4   93.2    101.6   96.5     -1.0   -1.0     -1.0   -1.0
    630     96.5   90.3     99.5   93.4     -1.0   -1.0     -1.0   -1.0
    800     94.8   87.5     97.6   90.3     -1.0   -1.0     -1.0   -1.0
   1000     92.8   84.3     95.2   86.7     -1.0   -1.0     -1.0   -1.0
   1250     91.3   81.5     93.4   83.5     -1.0   -1.0     -1.0   -1.0
   1600     89.4   78.3     91.0   79.9     -1.0   -1.0     -1.0   -1.0
   2000     86.9   74.7     88.0   75.8     -1.0   -1.0     -1.0   -1.0
   2500     85.2   72.0     86.0   72.8     -1.0   -1.0     -1.0   -1.0
   3150     83.1   69.2     83.5   69.7     -1.0   -1.0     -1.0   -1.0
   4000     80.4   66.5     80.3   66.5     -1.0   -1.0     -1.0   -1.0
   5000     78.3   64.4     77.9   64.0     -1.0   -1.0     -1.0   -1.0
   6300     75.7   61.8     74.8   60.9     -1.0   -1.0     -1.0   -1.0
   8000     73.5   59.7     72.2   58.4     -1.0   -1.0     -1.0   -1.0
  10000     70.9   57.0     69.1   55.2     -1.0   -1.0     -1.0   -1.0
  12500     68.8   54.9     66.6   52.7     -1.0   -1.0     -1.0   -1.0
  16000     66.0   52.1     63.3   49.5     -1.0   -1.0     -1.0   -1.0
  20000     64.0   50.1     60.9   47.0     -1.0   -1.0     -1.0   -1.0
  25000     61.4   47.5     57.8   44.0     -1.0   -1.0     -1.0   -1.0
